Stock,Date,Sentiment,Daily_Return
AAPL,2020-06-09,0.08833333333333333,0.0315779975083321
AAPL,2020-06-10,0.1669191919191919,0.025727510551937
AMZN,2020-06-09,-0.020833333333333336,0.0304271392023058
AMZN,2020-06-10,0.20479797979797978,0.0179132925581209
GOOG,2020-06-04,0.0,-0.0168478965226388
GOOG,2020-06-05,-0.051851851851851864,0.0185599722005609
GOOG,2020-06-08,0.1393939393939394,0.0057146597305739
GOOG,2020-06-09,0.06666666666666667,0.0066016539417792
GOOG,2020-06-10,0.011111111111111112,0.006654553189795
NVDA,2020-06-02,0.25,0.0021575647101554
NVDA,2020-06-08,0.0,-0.0128923509119457
NVDA,2020-06-09,0.2625,0.0273707227085608
NVDA,2020-06-10,0.027083333333333334,0.035457688844076
TSLA,2020-06-10,0.037515151515151515,0.0897020572526978
